---------------------------------------------------
               坐标值         面积                  
---------------------------------------------------
              (61 , 477)          1                  
              (63 , 157)          3                  
              (63 , 477)          1                  
              (64 , 7)          3                  
              (65 , 86)          1                  
              (65 , 88)          1                  
              (65 , 107)          1                  
              (66 , 193)          8                  
              (66 , 330)          1                  
              (68 , 362)          3                  
              (68 , 369)          1                  
              (69 , 80)          1                  
              (69 , 315)          1                  
              (69 , 391)          2                  
              (70 , 198)          1                  
              (70 , 357)          3                  
              (71 , 164)          2                  
              (71 , 315)          5                  
              (71 , 336)          1                  
              (72 , 54)          2                  
              (75 , 48)          1                  
              (76 , 99)          2                  
              (76 , 253)          1                  
              (76 , 372)          3                  
              (78 , 182)          1                  
              (79 , 496)          19                  
              (81 , 70)          2                  
              (81 , 274)          1                  
              (82 , 378)          2                  
              (82 , 492)          1                  
              (83 , 130)          1                  
              (83 , 210)          1                  
              (83 , 276)          6                  
              (83 , 471)          4                  
              (84 , 495)          4                  
              (85 , 120)          1                  
              (85 , 210)          1                  
              (87 , 174)          1                  
              (88 , 102)          2                  
              (88 , 447)          1                  
              (88 , 495)          20                  
              (90 , 18)          6                  
              (90 , 54)          1                  
              (90 , 348)          1                  
              (91 , 77)          2                  
              (91 , 197)          1                  
              (91 , 493)          1                  
              (92 , 171)          1                  
              (93 , 78)          1                  
              (93 , 197)          1                  
              (93 , 349)          2                  
              (94 , 76)          1                  
              (94 , 337)          1                  
              (94 , 455)          3                  
              (95 , 68)          1                  
              (95 , 168)          1                  
              (98 , 455)          2                  
              (99 , 453)          1                  
              (100 , 192)          2                  
              (100 , 282)          1                  
              (101 , 293)          1                  
              (102 , 234)          4                  
              (103 , 143)          4                  
              (103 , 334)          1                  
              (103 , 340)          3                  
              (104 , 421)          22                  
              (105 , 124)          2                  
              (105 , 271)          1                  
              (106 , 331)          1                  
              (107 , 442)          1                  
              (108 , 149)          3                  
              (110 , 108)          1                  
              (110 , 416)          1                  
              (111 , 425)          3                  
              (113 , 249)          4                  
              (113 , 450)          3                  
              (114 , 79)          1                  
              (115 , 11)          1                  
              (115 , 117)          3                  
              (116 , 136)          18                  
              (117 , 32)          2                  
              (117 , 133)          1                  
              (117 , 282)          1                  
              (117 , 439)          1                  
              (118 , 111)          1                  
              (118 , 235)          1                  
              (119 , 164)          1                  
              (119 , 216)          1                  
              (119 , 496)          3                  
              (120 , 89)          1                  
              (120 , 173)          1                  
              (121 , 319)          1                  
              (122 , 4)          41                  
              (124 , 493)          1                  
              (124 , 497)          20                  
              (124 , 499)          3                  
              (126 , 34)          1                  
              (126 , 129)          1                  
              (126 , 333)          1                  
              (126 , 438)          1                  
              (126 , 492)          5                  
              (127 , 341)          3                  
              (127 , 347)          2                  
              (127 , 350)          1                  
              (128 , 485)          1                  
              (129 , 154)          1                  
              (129 , 356)          1                  
              (130 , 226)          2                  
              (131 , 356)          1                  
              (134 , 287)          4                  
              (134 , 419)          1                  
              (136 , 379)          1                  
