---------------------------------------------------
               坐标值         面积                  
---------------------------------------------------
              (23 , 24)          8                  
              (23 , 27)          2                  
              (23 , 31)          5                  
              (23 , 33)          1                  
              (23 , 93)          4                  
              (24 , 35)          1                  
              (24 , 52)          1                  
              (24 , 66)          3                  
              (25 , 5)          1                  
              (25 , 16)          3                  
              (25 , 45)          5                  
              (25 , 50)          1                  
              (25 , 58)          6                  
              (25 , 77)          1                  
              (25 , 79)          1                  
              (25 , 90)          1                  
              (26 , 26)          2                  
              (26 , 35)          1                  
              (26 , 43)          1                  
              (26 , 71)          3                  
              (26 , 74)          3                  
              (26 , 94)          1                  
              (27 , 32)          2                  
              (27 , 51)          7                  
              (27 , 89)          3                  
              (27 , 98)          2                  
              (28 , 1)          2                  
              (28 , 18)          1                  
              (28 , 21)          2                  
              (28 , 28)          1                  
              (28 , 35)          6                  
              (28 , 42)          5                  
              (28 , 57)          1                  
              (28 , 66)          4                  
              (28 , 79)          1                  
              (28 , 87)          1                  
              (28 , 96)          4                  
              (29 , 14)          3                  
              (29 , 23)          10                  
              (29 , 59)          3                  
              (29 , 61)          1                  
              (29 , 70)          1                  
              (29 , 74)          2                  
              (29 , 82)          1                  
              (29 , 93)          1                  
              (30 , 3)          3                  
              (30 , 6)          1                  
              (30 , 33)          1                  
              (30 , 55)          2                  
              (30 , 78)          1                  
              (30 , 89)          1                  
              (31 , 0)          2                  
              (31 , 17)          1                  
              (31 , 47)          1                  
              (31 , 49)          1                  
              (31 , 63)          1                  
              (31 , 76)          2                  
              (31 , 99)          5                  
              (32 , 22)          1                  
              (32 , 35)          4                  
              (32 , 67)          4                  
              (32 , 71)          2                  
              (32 , 83)          2                  
              (32 , 86)          1                  
              (33 , 8)          5                  
              (33 , 14)          7                  
              (33 , 46)          6                  
              (33 , 61)          1                  
              (33 , 77)          1                  
              (33 , 81)          8                  
              (33 , 88)          6                  
              (33 , 91)          2                  
              (34 , 4)          4                  
              (34 , 16)          1                  
              (34 , 30)          3                  
              (34 , 43)          2                  
              (34 , 50)          1                  
              (34 , 54)          2                  
              (34 , 59)          1                  
              (34 , 93)          5                  
              (35 , 7)          2                  
              (35 , 19)          3                  
              (35 , 22)          1                  
              (35 , 52)          1                  
              (35 , 57)          1                  
              (35 , 72)          4                  
              (35 , 97)          1                  
              (36 , 1)          1                  
              (36 , 15)          2                  
              (36 , 33)          1                  
              (36 , 39)          6                  
              (36 , 64)          1                  
              (36 , 67)          1                  
              (36 , 83)          1                  
              (37 , 37)          10                  
              (37 , 57)          5                  
              (37 , 61)          3                  
              (37 , 69)          1                  
              (37 , 79)          1                  
              (38 , 1)          2                  
              (38 , 6)          1                  
              (38 , 10)          2                  
              (38 , 20)          2                  
              (38 , 24)          8                  
              (38 , 30)          1                  
              (38 , 45)          1                  
              (38 , 47)          1                  
              (38 , 52)          1                  
              (38 , 67)          6                  
              (38 , 77)          1                  
              (38 , 81)          2                  
              (38 , 84)          1                  
              (39 , 4)          1                  
              (39 , 8)          1                  
              (39 , 32)          6                  
              (39 , 39)          2                  
              (39 , 42)          1                  
              (39 , 91)          4                  
              (39 , 93)          2                  
              (39 , 97)          3                  
              (40 , 2)          1                  
              (40 , 12)          1                  
              (40 , 15)          5                  
              (40 , 28)          4                  
              (40 , 49)          13                  
              (40 , 52)          1                  
              (40 , 54)          3                  
              (40 , 72)          6                  
              (40 , 76)          2                  
              (40 , 83)          4                  
              (40 , 87)          1                  
              (41 , 4)          4                  
              (41 , 44)          2                  
              (41 , 58)          1                  
              (41 , 62)          2                  
              (41 , 64)          1                  
              (41 , 79)          4                  
              (42 , 2)          1                  
              (42 , 8)          1                  
              (42 , 20)          1                  
              (42 , 81)          1                  
              (42 , 87)          5                  
              (43 , 10)          1                  
              (43 , 15)          1                  
              (43 , 17)          1                  
              (43 , 24)          2                  
              (43 , 58)          3                  
              (43 , 66)          2                  
              (43 , 76)          1                  
              (43 , 84)          1                  
              (43 , 96)          10                  
              (44 , 3)          3                  
              (44 , 12)          2                  
              (44 , 21)          1                  
              (44 , 28)          1                  
              (44 , 31)          14                  
              (44 , 47)          1                  
              (44 , 62)          1                  
              (44 , 81)          4                  
              (45 , 8)          5                  
              (45 , 24)          2                  
              (45 , 66)          4                  
              (45 , 71)          1                  
              (45 , 84)          1                  
              (45 , 99)          1                  
              (46 , 22)          1                  
              (46 , 27)          2                  
              (46 , 40)          1                  
              (46 , 52)          1                  
              (46 , 55)          1                  
              (46 , 79)          2                  
              (47 , 3)          8                  
              (47 , 10)          6                  
              (47 , 14)          5                  
              (47 , 20)          1                  
              (47 , 35)          1                  
              (47 , 85)          3                  
              (47 , 89)          4                  
              (47 , 97)          4                  
              (48 , 22)          1                  
              (48 , 24)          4                  
              (48 , 46)          2                  
              (48 , 56)          2                  
